"Menu","Resto","Nutri score","Eco score","Vegetarien spcécifé","Origine","Prix etudiant","Prix doctorant","Prix visiteur","Prix campus","Prix /100g","Prix etudiant /100g","Prix unique","Prix demi portion","Prix (non traité)","date"
"Creamy risotto casserole with zucchini vegetarian","Piano","c+","d","1","","5.5","7","9","8","","","","","E 5.50 CHFD 7.00 CHFC 8.00 CHFV 9.00 CHF","4/14/2022"
"Cold buffet of the moment:
Assorted raw vegetables, cooked food, starch, proteins...Origin: CH","Piano","a-","e","","CH","","","","","2.7","","","","2.70 CHF/100g","4/14/2022"
"green saladFresh fruit of your choicePenne Giancale, peas and vegetable compoteOrigin: UE","Piano","b+","e","","UE","9","11","13.5","12","","","","","E 9.00 CHFD 11.00 CHFC 12.00 CHFV 13.50 CHF","4/14/2022"
"RESTAURANT FERME
Happy Easter","Campus Biotech","","","","","","","","","","","9.00","","9.00 CHF","4/15/2022"
"Salmon Fillet with Dill
Wild rice
Braised red cabbageOrigin: NO","La Ruche","a+","c","","NO","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","4/15/2022"
"Vegetarian cutlet with lemon cream
Sweet potatoes
Roasted beet","La Ruche","a","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","4/15/2022"
"Fusili à la napolitaine","La Ruche","b+","c","","","5.5","10.5","10.5","10.5","","","","","E 5.50 CHFD 10.50 CHFC 10.50 CHFV 10.50 CHF","4/15/2022"
"[Big Burger]
Corn bun, beef, candied onions, tomato, raclette cheese, saladOrigin: Boeuf CH","La Table de Vallotton by Novae","b+","c","","Boeuf CH","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/15/2022"
"[Big Veggie Burger]
Corn buns, barbecue planted, onions, tomato, raclette cheese and salad vegetarian","La Table de Vallotton by Novae","a-","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/15/2022"
"[Pasta du Chef]
Penne Rigate N°73, bear garlic pesto, local cured ham, parmesan shavings and Caulys sproutsOrigin: Porc/Suisse","La Table de Vallotton by Novae","c+","c","","Porc/Suisse","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/15/2022"
"[Pasta by Veggie Chef]
Penne Rigate N°73,
bear garlic pesto, parmesan shavings and Caulys sprouts vegetarian","La Table de Vallotton by Novae","a-","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/15/2022"
"[Chef's casserole]
Osso Bucco of pork gremolata, roasted seasonal vegetables
Origin: Porc - Suisse","La Table de Vallotton by Novae","a-","c","","Porc - Suisse","14","17","17","17","","","","","E 14.00 CHFD 17.00 CHFC 17.00 CHFV 17.00 CHF","4/15/2022"
"[Chef's casserole]
Dhal of coral lentils with coconut milk, ginger and organic basmati riceOrigin: Riz basmatri BIO FAIRTRADE vegetarian","La Table de Vallotton by Novae","a","b","1","Riz basmatri BIO FAIRTRADE vegetarian","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/15/2022"
"[Chef's salad] Dent-de-lion, smoked bacon, hard-boiled eggs, country bread croutons, old-fashioned mustard vinaigretteOrigin: Porc - Suisse","La Table de Vallotton by Novae","b+","c","","Porc - Suisse","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","4/15/2022"
"[Veggie Chef Salad] Lion's Tooth, quorn bacon, hard-boiled eggs, country bread croutons, old-fashioned mustard vinaigrette vegetarian","La Table de Vallotton by Novae","b+","b","1","","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","4/15/2022"
"Green vegetable quiche with feta cheese and green salad vegetarian","Le Klee by Novae","b+","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/15/2022"
"Endive with ham, rice flavored with thyme","Microcity","","","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","4/15/2022"
"Endive with ham, rice flavored with thyme","Microcity","","","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","4/15/2022"
"Neapolitan penne, diced fresh tomatoes, basil crumble vegetarian","Microcity","a","b","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","4/15/2022"
"Neapolitan penne, diced fresh tomatoes, basil crumble","Microcity","","","","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","4/15/2022"
"Beef flank steak with Bearnaise sauce, French fries and green saladOrigin: CH","PUUR","b-","e","","CH","","","","","","","15.90","","15.90 CHF","4/15/2022"
"Salad buffet","PUUR","b+","d","","","","","","","3.1","","","","3.10 CHF/100g","4/15/2022"
"Green vegetable quiche with feta cheese and green salad vegetarian","Le Klee by Novae","b+","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/16/2022"
"Green vegetable quiche with feta cheese and green salad vegetarian","Le Klee by Novae","b+","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/17/2022"
"HAPPY EASTER HOLIDAYS","Campus Biotech","","","","","","","","","","","9.00","","9.00 CHF","4/18/2022"
"Closed","La Ruche","a+","e","","","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","4/18/2022"
"Closed","La Ruche","a+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","4/18/2022"
"Fermé","La Ruche","","","","","","","","","","","","","La Ruche","4/18/2022"
"Green vegetable quiche with feta cheese and green salad vegetarian","Le Klee by Novae","b+","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/18/2022"
"Carrot medaglioni
Provençal tomato sauce with celery brunoise
 vegan","Alpine","c","b","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","4/19/2022"
"Sliced pork with caramel
Rice flavored with vegetables","Alpine","a","d","","","11.5","12","13.5","12.5","","","","","D 12.00 CHFE 11.50 CHFC 12.50 CHFV 13.50 CHF","4/19/2022"
"Grilled meat à la carte
French fries and vegetables
green pepper sauce
Parisian coffee butter","Alpine","b","c","","","12.5","13","14.5","13.5","","","","","E 12.50 CHFD 13.00 CHFC 13.50 CHFV 14.50 CHF","4/19/2022"
"Fusilli with greens, fresh tomato sauce, red onions, beans, peas and basil vegetarian","Arcadie","a","c","1","","","","","","2.3","","","","2.30 CHF/100g","4/19/2022"
"Beef ravioli with Barolo, sage sauce, vegetable brunoise","Arcadie","a","c","","","","","","","","","12.00","","12.00 CHF","4/19/2022"
"Whole wheat penne gratin with broccoli, ricotta cheese and spinach shoots vegetarian","Arcadie","a","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/19/2022"
"[Italian Bowl] Trofie al'tono, mozzarella, tomatoes, corn, green beans and carrotsOrigin: Thon MSC - FAO87","Arcadie","a-","b","","Thon MSC - FAO87","","","","","","","12.00","","12.00 CHF","4/19/2022"
"Minced pork steak with Emmental cheese
Strong juice with pepper mignonette
Baked rice
Glazed carrotsOrigin: Suisse","Campus Biotech","a","e","","Suisse","","","","","","","9.00","","9.00 CHF","4/19/2022"
"[Nasi Goreng] Basmati rice, julienne vegetables, Chinese cabbage, pak choi, egg, soy, lemongrass, ginger and peanuts vegetarian","Epicure","b+","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/19/2022"
"[SOUP OF THE DAY]
Cream of zucchini soup with spinach shootsOrigin: Légumes: Suisse","Epicure","c","b","","Légumes: Suisse","","","","","","","","","Epicure","4/19/2022"
"[WEEKLY WRAP]
Eggplant, goat cheese, chutney, omelet, salad and nuts vegetarian","Epicure","","","1","","","","","","","","","","Epicure","4/19/2022"
"[EPICURE'S SMALL SALAD BAR]
Novae's salad mix, 3 vegetables or raw vegetables, 1 protein and your choice of dressing","Epicure","","","","","6.9","7.5","8.5","7.9","","","","","E 6.90 CHFD 7.50 CHFC 7.90 CHFV 8.50 CHF","4/19/2022"
"[EPICURE'S BIG SALAD BAR]
Novae's salad mix, 5 vegetables or raw vegetables, 2 proteins and a choice of dressing","Epicure","","","","","12","12.5","14","13","","","","","E 12.00 CHFD 12.50 CHFC 13.00 CHFV 14.00 CHF","4/19/2022"
"[The Chef's gourmet recipes]
Croque-monsieur, savory cake, veggie quiche, sweet cake, crumble, brownies","Epicure","","","","","","","","","","","","","Epicure","4/19/2022"
"[Pizza Party] CAPRICCIOSA - white ham, tomatoes, grilled vegetables, mozzarella, oreganoOrigin: Porc - Suisse","Hodler","a","e","","Porc - Suisse","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","4/19/2022"
"[Pizza Party] VERDURA - Tomatoes, grilled vegetables, peppers, mozzarella, oregano vegetarian","Hodler","a","c","1","","8.5","9.5","11","10","","","","","E 8.50 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","4/19/2022"
"Cheese Burger BaconOrigin: CH","Hopper","c-","e","","CH","","","","","","","13.00","","13.00 CHF","4/19/2022"
"Endive and red onion gratin vegetarian","Hopper","b","d","1","","7.5","9","12","10","","","","","E 7.50 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","4/19/2022"
"Chicken Cordon BleuOrigin: CH","Hopper","c","e","","CH","","","","","","","11.50","","11.50 CHF","4/19/2022"
"Fried noodles with Asian vegetables
Sweet and sour juice
Soybean sprout","La Ruche","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","4/19/2022"
"Cajun Pork and Peanut Stir-Fry
Basmati rice
TurnipsOrigin: CH","La Ruche","a","d","","CH","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","4/19/2022"
"Orecchiette crémeuse
Aux petits pois et épinards","La Ruche","b+","c","","","6.5","10.5","10.5","10.5","","","","","E 6.50 CHFD 10.50 CHFC 10.50 CHFV 10.50 CHF","4/19/2022"
"[Big Burger]
Corn bun, beef, candied onions, tomato, raclette cheese, saladOrigin: Boeuf CH","La Table de Vallotton by Novae","b+","c","","Boeuf CH","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/19/2022"
"[Big Veggie Burger]
Corn buns, barbecue planted, onions, tomato, raclette cheese and salad vegetarian","La Table de Vallotton by Novae","a-","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/19/2022"
"[Pasta du Chef]
Penne Rigate N°73, bear garlic pesto, local cured ham, parmesan shavings and Caulys sproutsOrigin: Porc/Suisse","La Table de Vallotton by Novae","c+","c","","Porc/Suisse","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/19/2022"
"[Pasta by Veggie Chef]
Penne Rigate N°73,
bear garlic pesto, parmesan shavings and Caulys sprouts vegetarian","La Table de Vallotton by Novae","a-","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/19/2022"
"[Chef's casserole]
Osso Bucco of pork gremolata, roasted seasonal vegetables
Origin: Porc - Suisse","La Table de Vallotton by Novae","a-","c","","Porc - Suisse","14","17","17","17","","","","","E 14.00 CHFD 17.00 CHFC 17.00 CHFV 17.00 CHF","4/19/2022"
"[Veggie Chef's Casserole]
Coral Lentil Dahl with Coconut Milk, Ginger and Organic Basmati RiceOrigin: Riz basmatri BIO FAIRTRADE vegetarian","La Table de Vallotton by Novae","a","b","1","Riz basmatri BIO FAIRTRADE vegetarian","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/19/2022"
"[Chef's salad] Rampon, smoked bacon, hard-boiled eggs, country bread croutons, old-fashioned mustard vinaigretteOrigin: Porc - Suisse","La Table de Vallotton by Novae","b+","d","","Porc - Suisse","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","4/19/2022"
"[Veggie Chef's Salad] Rampon, Quorn Bacon, Country Bread Croutons, Hard Boiled Eggs","La Table de Vallotton by Novae","b+","a","","","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","4/19/2022"
"Green vegetable quiche with feta cheese and green salad vegetarian","Le Klee by Novae","b+","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/19/2022"
"Endives with ham and rice flavored with thymeOrigin: Suisse","Microcity","b","c","","Suisse","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","4/19/2022"
"Roesti spinach pizza au gratin with florentine and perfect egg
 vegetarian","Microcity","b","a","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","4/19/2022"
"Mushroom risotto, chopped quorn, parmesan tiles
 vegetarian","Microcity","a-","b","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","4/19/2022"
"Spring salad with green asparagus, lentils, crudités, leek vinaigrette and hard-boiled egg
 vegetarian","Microcity","b","b","1","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","4/19/2022"
"Beef flank steak, Bearnaise sauce, fries and grilled vegetablesOrigin: Suisse","Ornithorynque","a-","c","","Suisse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","4/19/2022"
"Penne gratin with tomato, basil and ricotta cream vegetarian","Ornithorynque","a","c","1","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","4/19/2022"
"Carrot and goat cheese quiche vegetarian","Ornithorynque","a","c","1","","8","8.5","9.5","9","","","","","E 8.00 CHFD 8.50 CHFC 9.00 CHFV 9.50 CHF","4/19/2022"
"Vegetable samosas, fried noodles, Thai sauce vegetarian","Ornithorynque","a","c","1","","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","4/19/2022"
"trout fillet with spring coulis plain apples crunchy fennel with lemon
Origin: IT","PUUR","e","d","","IT","","","","","","","15.90","","15.90 CHF","4/19/2022"
"Fine Sicilian noodles with eggplant, olives and ricotta salad menu","PUUR","a-","d","","","","","","","","","14.90","","14.90 CHF","4/19/2022"
"Fresh home-made pasta Carbonara with grilled smoked tofu and onion confit in cream sauce","PUUR","b+","d","","","","","","","12.9","","","","12.90 CHF/100g","4/19/2022"
"Beef flank steak with Bearnaise sauce, French fries and green saladOrigin: CH","PUUR","b-","e","","CH","","","","","","","15.90","","15.90 CHF","4/19/2022"
"Salad buffet","PUUR","b+","d","","","","","","","3.1","","","","3.10 CHF/100g","4/19/2022"
"Grilled white meat:
Chicken picata, fries and saladOrigin: CH","Piano","b","e","","CH","","","","","","","11.50","","11.50 CHF","4/19/2022"
"Spring roll
Sweet chili sauce
Fried rice with Chinese cabbage","Alpine","b","b","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","4/20/2022"
"Wheat noodles with vegetables
Fried mix with sweet chili sauce vegan","Alpine","a","c","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","4/20/2022"
"Grilled meat à la carte
French fries and vegetables
green pepper sauce
Parisian coffee butter","Alpine","b","c","","","12.5","13","14.5","13.5","","","","","E 12.50 CHFD 13.00 CHFC 13.50 CHFV 14.50 CHF","4/20/2022"
"Fusilli with greens, fresh tomato sauce, red onions, beans, peas and basil vegetarian","Arcadie","a","c","1","","","","","","2.3","","","","2.30 CHF/100g","4/20/2022"
"Beef ravioli with Barolo, sage sauce, vegetable brunoise","Arcadie","a","c","","","","","","","","","12.00","","12.00 CHF","4/20/2022"
"Whole wheat penne gratin with broccoli, ricotta cheese and spinach shoots vegetarian","Arcadie","a","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/20/2022"
"[Italian Bowl] Lentils, mozzarella, sun-dried tomatoes, potatoes, basil and red onions vegetarian","Arcadie","b","b","1","","","","","","","","12.00","","12.00 CHF","4/20/2022"
"Indian style poached coalfish back
Swiss IP Quinoa
Baked fennel","Campus Biotech","a","e","","","","","","","","","9.00","","9.00 CHF","4/20/2022"
"[Nasi Goreng] Basmati rice, julienne vegetables, Chinese cabbage, pak choi, egg, soy, lemongrass, ginger and peanuts vegetarian","Epicure","b+","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/20/2022"
"[SOUP OF THE DAY]
Cream of zucchini soup with spinach shootsOrigin: Légumes: Suisse","Epicure","c","b","","Légumes: Suisse","","","","","","","","","Epicure","4/20/2022"
"[WEEKLY WRAP]
Hummus, spinach shoots, falafels and cottage cheese vegetarian","Epicure","b+","c","1","","","","","","","","","","Epicure","4/20/2022"
"[EPICURE'S SMALL SALAD BAR]
Novae's salad mix, 3 vegetables or raw vegetables, 1 protein and your choice of dressing","Epicure","","","","","6.9","7.5","8.5","7.9","","","","","E 6.90 CHFD 7.50 CHFC 7.90 CHFV 8.50 CHF","4/20/2022"
"[EPICURE'S BIG SALAD BAR]
Novae's salad mix, 5 vegetables or raw vegetables, 2 proteins and a choice of dressing","Epicure","","","","","12","12.5","14","13","","","","","E 12.00 CHFD 12.50 CHFC 13.00 CHFV 14.00 CHF","4/20/2022"
"[The Chef's gourmet recipes]
Croque-monsieur, savory cake, veggie quiche, sweet cake, crumble, brownies","Epicure","","","","","","","","","","","","","Epicure","4/20/2022"
"[Pizza Party] CAPRICCIOSA - white ham, tomatoes, grilled vegetables, mozzarella, oreganoOrigin: Porc - Suisse","Hodler","a","e","","Porc - Suisse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","4/20/2022"
"[Pizza Party] VERDURA - Tomatoes, grilled vegetables, peppers, mozzarella, oregano vegetarian","Hodler","a","c","1","","","","","","","","","","Hodler","4/20/2022"
"Cheese Burger BaconOrigin: CH","Hopper","c-","e","","CH","","","","","","","13.00","","13.00 CHF","4/20/2022"
"Risotto with small vegetables vegetarian","Hopper","b-","d","1","","7.5","9","12","10","","","","","E 7.50 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","4/20/2022"
"Beef meatball with Cajun cream and spices, farfalle and glazed carrotsOrigin: CH","Hopper","b+","e","","CH","","","","","","","11.50","","11.50 CHF","4/20/2022"
"Bulgur paella with saffron prawns
Steamed broccoliOrigin: VN","La Ruche","a+","c","","VN","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","4/20/2022"
"Pita
With seitan, carrots, red cabbage, salad, yogurt
Sautéed apples","La Ruche","a","b","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","4/20/2022"
"Fusili au pesto maison","La Ruche","c+","c","","","5.5","10.5","10.5","10.5","","","","","E 5.50 CHFD 10.50 CHFC 10.50 CHFV 10.50 CHF","4/20/2022"
"[Big Burger]
Corn bun, beef, candied onions, tomato, raclette cheese, saladOrigin: Boeuf CH","La Table de Vallotton by Novae","b+","c","","Boeuf CH","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/20/2022"
"[Big Veggie Burger]
Corn buns, barbecue planted, onions, tomato, raclette cheese and salad vegetarian","La Table de Vallotton by Novae","a-","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/20/2022"
"[Pasta du Chef]
Penne Rigate N°73, bear garlic pesto, local cured ham, parmesan shavings and Caulys sproutsOrigin: Porc/Suisse","La Table de Vallotton by Novae","c+","c","","Porc/Suisse","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/20/2022"
"[Pasta by Veggie Chef]
Penne Rigate N°73,
bear garlic pesto, parmesan shavings and Caulys sprouts vegetarian","La Table de Vallotton by Novae","a-","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/20/2022"
"[Chef's casserole]
Osso Bucco of pork gremolata, roasted seasonal vegetables
Origin: Porc - Suisse","La Table de Vallotton by Novae","a-","c","","Porc - Suisse","14","17","17","17","","","","","E 14.00 CHFD 17.00 CHFC 17.00 CHFV 17.00 CHF","4/20/2022"
"[Veggie Chef's Casserole]
Coral Lentil Dahl with Coconut Milk, Ginger and Organic Basmati RiceOrigin: Riz basmatri BIO FAIRTRADE vegetarian","La Table de Vallotton by Novae","a","b","1","Riz basmatri BIO FAIRTRADE vegetarian","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","4/20/2022"
"[Chef's salad] Rampon, smoked bacon, hard-boiled eggs, country bread croutons, old-fashioned mustard vinaigretteOrigin: Porc - Suisse","La Table de Vallotton by Novae","b+","d","","Porc - Suisse","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","4/20/2022"
"[Veggie Chef's Salad] Rampon, Quorn Bacon, Country Bread Croutons, Hard Boiled Eggs","La Table de Vallotton by Novae","b+","a","","","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","4/20/2022"
"Ham and Gruyere quiche with green saladOrigin: Jambon: CH","Le Klee by Novae","b-","c","","Jambon: CH","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/20/2022"
"Gluten-free beef meatballs with tomato, penne, parmesan and arugula crumbleOrigin: Suisse","Microcity","a","d","","Suisse","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","4/20/2022"
"Spring rolls with sweet aige sauce and Cantonese rice
 vegetarian","Microcity","a","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","4/20/2022"
"Risotto aux champignons , quorn haché , tuiles de parmesan","Microcity","","","","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","4/20/2022"
"Spring salad with green asparagus, lentils, crudités, leek vinaigrette and hard-boiled egg","Microcity","","","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","4/20/2022"
"Roast veal with olives, small potatoes and green beansOrigin: Suisse","Ornithorynque","a","c","","Suisse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","4/20/2022"
"Spring Vegetable Risotto vegetarian","Ornithorynque","b+","b","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","4/20/2022"
"Carrot and goat cheese quiche vegetarian","Ornithorynque","a","c","1","","8","8.5","9.5","9","","","","","E 8.00 CHFD 8.50 CHFC 9.00 CHFV 9.50 CHF","4/20/2022"
"Tex Mex Burrito with chicken and vegetables, tortilla chipsOrigin: Suisse","Ornithorynque","a-","c","","Suisse","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","4/20/2022"
"Penne with artichokes and black olives in lemon sauce, toasted pine nuts and salad menu vegetarian","PUUR","a","d","1","","","","","","","","14.90","","14.90 CHF","4/20/2022"
"Chicken breast with tarragon juice, creamy risotto and broccoli rosetteOrigin: CH","PUUR","a","e","","CH","","","","","","","14.90","","14.90 CHF","4/20/2022"
"Homemade fresh pasta with shrimp and spring onions in a parsley sauce and spinach leaves
Origin: VN","PUUR","b-","e","","VN","","","","","","","13.90","","13.90 CHF","4/20/2022"
"Beef flank steak with Bearnaise sauce, French fries and green saladOrigin: CH","PUUR","b-","e","","CH","","","","","","","15.90","","15.90 CHF","4/20/2022"
"Salad buffet","PUUR","b+","d","","","","","","","3.1","","","","3.10 CHF/100g","4/20/2022"
"Penne with Pesto Rosso
Salad of the day","Alpine","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","4/21/2022"
"Chef Noï's Pad Thaï
Sautéed vegetables
cébette","Alpine","a","c","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","4/21/2022"
"Tortilla bowl
Rice with vegetables, breaded tofu and cashews, salad and guacamole.
 vegan","Alpine","a","c","","","12.5","13","13.5","13.5","","","","","E 12.50 CHFD 13.00 CHFC 13.50 CHFV 13.50 CHF","4/21/2022"
"Fusilli with greens, fresh tomato sauce, red onions, beans, peas and basil vegetarian","Arcadie","a","c","1","","","","","","2.3","","","","2.30 CHF/100g","4/21/2022"
"Tortelloni with cheese, tomato sauce, ricotta and peas vegetarian","Arcadie","a","b","1","","","","","","","","12.00","","12.00 CHF","4/21/2022"
"Whole wheat penne gratin with broccoli, ricotta cheese and spinach shoots vegetarian","Arcadie","a","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","4/21/2022"
"[Italian Bowl] Lentils, mozzarella, sun-dried tomatoes, potatoes, basil and red onions vegetarian","Arcadie","b","b","1","","","","","","","","12.00","","12.00 CHF","4/21/2022"
"Chili Beef Fajitas
Spice and herb salsa
Guacamole
Bulgur with mint
Crunchy saladOrigin: Suisse","Campus Biotech","a","e","","Suisse","","","","","","","9.00","","9.00 CHF","4/21/2022"
"vegetarian plate composed of: aloo palak (spinach - potatoes), daal, raïta, rice","Chez Bilia - food truck","","","1","","","","","","","","12.00","7","12.00 CHF½ 7.00 CHF","4/21/2022"
"[SOUP OF THE DAY]
Cream of zucchini soup with spinach shootsOrigin: Légumes: Suisse","Epicure","c","b","","Légumes: Suisse","","","","","","","","","Epicure","4/21/2022"
"[EPICURE'S SMALL SALAD BAR]
Novae's salad mix, 3 vegetables or raw vegetables, 1 protein and your choice of dressing","Epicure","","","","","6.9","7.5","8.5","7.9","","","","","E 6.90 CHFD 7.50 CHFC 7.90 CHFV 8.50 CHF","4/21/2022"
"[EPICURE'S BIG SALAD BAR]
Novae's salad mix, 5 vegetables or raw vegetables, 2 proteins and a choice of dressing","Epicure","","","","","12","12.5","14","13","","","","","E 12.00 CHFD 12.50 CHFC 13.00 CHFV 14.00 CHF","4/21/2022"
"[The Chef's gourmet recipes]
Croque-monsieur, savory cake, veggie quiche, sweet cake, crumble, brownies","Epicure","","","","","","","","","","","","","Epicure","4/21/2022"
"Italian Pasta Gratin vegetarian","Hopper","b+","d","1","","7.5","9","12","10","","","","","E 7.50 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","4/21/2022"
"Risotto with small vegetables vegetarian","Hopper","b-","d","1","","7.5","9","12","10","","","","","E 7.50 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","4/21/2022"
"Sliced quorn with wild garlic
Quinoa with vegetables","La Ruche","a","c","","","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","4/21/2022"
